bboalert,2,ler
1CDb--1D--1N--2C--2D--3D--3H--,4D,5+!D-4!S | No control over !H
1CDb--1D--1N--2C--2D--3D--,3N,3!H-3!S
1CDb--1D--1N--2C--2D--3D--,3S,3!S
1CDb--1D--1N--2C--2D--3D--3S--,3N,4!H | Good contol over !S
1CDb--1D--1N--2C--2D--3D--3S--,4C,5+!C-4!H | No control over !s
1CDb--1D--1N--2C--2D--3D--3S--,4D,5+!D-4!H | No control over !s
1CDb--1D--1N--2C--2D--,3H,5!H-4!S
1CDb--1D--1N--2C--2D--,3N,To Play
1CDb--1D--1N--2C--2D--3N--,4S,To Play | 3!S's
1CDb--1D--1N--2C--2D--,3S,5!S-4!H
1CDb--1D--1N--2C--2D--,4H,6!H-4!S | To Play
1CDb--1D--1N--2C--2D--,4S,6!S-4!H | To Play
1CDb--1D--1N--2C--,2H,4-5!H's
1CDb--1D--1N--2C--2H--,2N,8-9 HCP | 4-card !S
1CDb--1D--1N--2C--2H--2N--,3H,accepts invitation with 5!h's
1CDb--1D--1N--2C--2H--2N--3H--,3N,To Play
1CDb--1D--1N--2C--2H--2N--3H--,4H,To Play with 3!H's
1CDb--1D--1N--2C--2H--2N--,3N,To Play
1CDb--1D--1N--2C--2H--,2S,4!s+6m | 0-7 HCP
1CDb--1D--1N--2C--2H--2S--,3C,pass / correct to 3!D for sign-off
1CDb--1D--1N--2C--2H--2S--3C--,3D,4!S-6!D weak hand
1CDb--1D--1N--2C--2H--,3C,4!s-5+!C
1CDb--1D--1N--2C--2H--3C--,3H,5!H's
1CDb--1D--1N--2C--2H--3C--3H--,3N,To Play
1CDb--1D--1N--2C--2H--3C--3H--,3S,Slam interest in !h
1CDb--1D--1N--2C--2H--3C--3H--,4C,Slam interest in !c
1CDb--1D--1N--2C--2H--3C--3H--,4D,Slam interest in !h
1CDb--1D--1N--2C--2H--3C--3H--,4H,3!H's-5+!c's | unbalanced
1CDb--1D--1N--2C--2H--3C--,3S,4!H's-4!S's-(2/3)!D's-(3/2)!c's
1CDb--1D--1N--2C--2H--3C--3S--,3N,To Play
1CDb--1D--1N--2C--2H--3C--3S--,4C,Slam interest in !C
1CDb--1D--1N--2C--2H--3C--3S--,4D,Slam interest in !s
1CDb--1D--1N--2C--2H--3C--3S--,4H,Slam interest in !s
1CDb--1D--1N--2C--2H--3C--3S--,4S,To Play
1CDb--1D--1N--2C--2H--,3D,4!s-5+!D
1CDb--1D--1N--2C--2H--3D--,3H,5!H's
1CDb--1D--1N--2C--2H--3D--3H--,3N,To Play
1CDb--1D--1N--2C--2H--3D--3H--,3S,Slam interest in !h
1CDb--1D--1N--2C--2H--3D--3H--,4C,Slam interest in !h
1CDb--1D--1N--2C--2H--3D--3H--,4D,Slam interest in !d
1CDb--1D--1N--2C--2H--3D--3H--,4H,3!H's-5+!D's | unbalanced
1CDb--1D--1N--2C--2H--,3H,game try
1CDb--1D--1N--2C--2H--,3N,5!S-3!H with game values
1CDb--1D--1N--2C--2H--,3S,good fit in !H with any shortness
1CDb--1D--1N--2C--2H--3S--,3N,asking about singleton
1CDb--1D--1N--2C--2H--3S--3N--,4C,single !C
1CDb--1D--1N--2C--2H--3S--3N--,4D,single !D
1CDb--1D--1N--2C--2H--3S--3N--,4H,single !S
1CDb--1D--1N--2C--2H--3S--,4C,asking about void
1CDb--1D--1N--2C--2H--3S--4C--,4D,no void
1CDb--1D--1N--2C--2H--3S--4C--,4H,void in !C
1CDb--1D--1N--2C--2H--3S--4C--,4N,void in !S
1CDb--1D--1N--2C--2H--3S--4C--,4S,void in !D
1CDb--1D--1N--2C--2H--,4C,1!H-4!S-4!C-4!D | 15-16 HCP
1CDb--1D--1N--2C--2H--4C--,4D,!d fit
1CDb--1D--1N--2C--2H--4C--,4H,!C fit
1CDb--1D--1N--2C--2H--4C--,4N,minimum hand
1CDb--1D--1N--2C--2H--4C--,4S,!s fit
1CDb--1D--1N--2C--2H--,4D,4!H | balanced hand with slam values
1CDb--1D--1N--2C--2H--,4H,To Play
1CDb--1D--1N--2C--2H--,4N,Quantitative
1CDb--1D--1N--2C--2H--4N--,6N,maximum values
1CDb--1D--1N--2C--2H--,4S,To Play
1CDb--1D--1N--2C--,2S,4-5!S's
1CDb--1D--1N--2C--2S--,2N,4!H | 8-9 HCP
1CDb--1D--1N--2C--2S--2N--,3N,To Play
1CDb--1D--1N--2C--2S--2N--,3S,accept invitation with 5!S's
1CDb--1D--1N--2C--2S--2N--3S--,3N,To Play
1CDb--1D--1N--2C--2S--2N--3S--,4S,To Play with 3!s's
1CDb--1D--1N--2C--2S--,3C,4!H-6+!C's | weak hand
1CDb--1D--1N--2C--2S--3C--,3N,To Play
1CDb--1D--1N--2C--2S--3C--,3S,5!S's
1CDb--1D--1N--2C--2S--3C--3S--,3N,To Play
1CDb--1D--1N--2C--2S--3C--3S--,4C,Slam interest in !c
1CDb--1D--1N--2C--2S--3C--3S--,4D,Slam interest in !s
1CDb--1D--1N--2C--2S--3C--3S--,4H,Slam interest in !s
1CDb--1D--1N--2C--2S--3C--3S--,4S,3!s's-5+!c's | unbalanced
1CDb--1D--1N--2C--2S--,3D,4!H-6+!d's | weak hand
